City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,bengkulu,-3.8004,102.2655,29.24,67,76,3.46,ID,1681278171
243,bay roberts,47.5999,-53.2648,2.41,89,100,2.01,CA,1681278172
244,kahului,20.8947,-156.47,23.8,79,40,7.72,US,1681278095
245,esna,25.2934,32.554,17.01,28,0,9.13,EG,1681278173
246,urucui,-7.2294,-44.5561,23.49,74,44,0.45,BR,1681278174
247,axim,4.8699,-2.2405,26.32,88,78,2.95,GH,1681278175
248,hammerfest,70.6634,23.6821,0.25,69,20,6.69,NO,1681278176
249,oriximina,-1.7656,-55.8661,23.57,94,100,1.1,BR,1681278176
250,straumen,63.8709,11.2999,9.0,77,71,2.84,NO,1681278177
251,coquimbo,-29.9533,-71.3436,13.85,100,100,1.03,CL,1681278178
252,les cayes,18.2,-73.75,23.15,86,9,1.57,HT,1681278178
253,souillac,-20.5167,57.5167,26.21,89,75,3.09,MU,1681278179
254,alofi,-19.0595,-169.9187,24.94,88,20,6.17,NU,1681278179
255,srednekolymsk,67.45,153.6833,-12.67,79,74,3.82,RU,1681278180
256,karratha,-20.7377,116.8463,34.14,46,94,5.96,AU,1681278180
257,ouadda,8.0777,22.4007,24.11,69,87,4.74,CF,1681278181
258,ugoofaaru,5.6667,73.0,28.77,70,10,5.72,MV,1681278181
259,nacala,-14.5428,40.6728,26.49,85,10,0.65,MZ,1681278184
260,pacific grove,36.6177,-121.9166,10.82,80,0,4.92,US,1681278184
261,leningradskiy,69.3833,178.4167,-17.07,95,98,3.98,RU,1681278185
262,victor harbor,-35.5667,138.6167,18.71,65,0,9.62,AU,1681278185
263,ayr,55.4627,-4.6339,5.17,81,40,7.2,GB,1681278186
264,dunedin,-45.8742,170.5036,12.25,94,100,4.06,NZ,1681278188
265,abu samrah,35.3029,37.1841,13.67,59,85,6.78,SY,1681278188
266,zapolyarnyy,69.4154,30.8136,-0.4,76,59,5.4,RU,1681278028
267,ribeira grande,38.5167,-28.7,14.87,89,100,1.34,PT,1681278190
268,geraldton,-28.7667,114.6,26.23,44,0,6.69,AU,1681278191
269,torbay,47.6666,-52.7314,1.99,78,75,1.54,CA,1681278191
270,kupang,-10.1667,123.5833,33.32,58,20,5.14,ID,1681278192
271,okato,-39.2,173.8833,18.28,100,4,1.95,NZ,1681278193
272,namatanai,-3.6667,152.4333,28.55,74,99,4.92,PG,1681278194
273,mardin,37.3131,40.7436,11.59,94,75,4.63,TR,1681278106
274,solnechnyy,50.7214,136.6319,-2.5,89,100,6.62,RU,1681278195
275,praia,14.9215,-23.5087,20.3,73,75,3.09,CV,1681278196
276,uray,60.1247,64.7758,5.07,60,100,4.11,RU,1681278196
277,santa marta,11.2408,-74.199,28.27,74,20,2.06,CO,1681278197
278,lafia,8.4833,8.5167,25.33,75,73,1.81,NG,1681278197
279,sitka,57.0531,-135.33,3.94,60,0,1.54,US,1681278198
280,gimli,50.6336,-96.9907,3.01,87,37,3.09,CA,1681278198
281,diamantino,-14.4086,-56.4461,22.06,95,99,1.76,BR,1681278199
282,morehead,37.2711,-87.1764,12.77,83,0,0.0,US,1681278199
283,tucumcari,35.1717,-103.725,16.91,31,0,5.66,US,1681278199
284,narsaq,60.9167,-46.05,0.12,85,72,1.32,GL,1681278200
285,leshan,29.5623,103.7639,30.12,40,35,1.4,CN,1681278200
286,ponta do sol,32.6667,-17.1,17.62,71,0,2.75,PT,1681278200
287,mahibadhoo,3.7833,72.9667,29.03,70,12,4.5,MV,1681278201
288,mezen,65.8522,44.24,-3.44,84,98,4.66,RU,1681278201
289,moussoro,13.6408,16.4901,25.87,16,93,8.4,TD,1681278202
290,hambantota,6.1241,81.1185,31.19,79,20,4.12,LK,1681278203
291,ambon,-3.6954,128.1814,29.08,84,40,2.57,ID,1681278203
292,menongue,-14.6585,17.691,18.56,75,96,1.65,AO,1681278204
293,ornskoldsvik,63.2909,18.7153,2.53,80,0,1.54,SE,1681278204
294,chulman,56.8479,124.9104,-4.88,83,100,3.26,RU,1681278205
295,alta floresta,-9.8756,-56.0861,20.28,99,67,1.19,BR,1681278205
296,piranhas,-16.4269,-51.8222,21.84,88,67,0.63,BR,1681278207
297,kundiawa,-6.0167,144.9667,19.38,97,98,0.75,PG,1681278208
298,broome,42.2506,-75.833,15.93,47,100,3.58,US,1681278208
299,ust-omchug,61.15,149.6333,-7.43,64,17,1.35,RU,1681278209
300,jhudo,24.964,69.2968,33.42,27,32,3.16,PK,1681278210
301,brae,60.3964,-1.353,6.43,81,85,12.82,GB,1681278211
302,puerto escondido,15.85,-97.0667,27.0,71,13,2.53,MX,1681278212
303,bundaberg,-24.85,152.35,27.9,49,42,0.89,AU,1681278212
304,mitchell,43.7094,-98.0298,22.99,27,0,7.2,US,1681278213
305,erzin,36.9559,36.2,13.23,77,80,3.04,TR,1681278213
306,vuktyl,63.8567,57.3094,0.71,99,100,1.86,RU,1681278214
307,jiwani,25.05,61.7417,26.6,69,70,4.09,PK,1681278214
308,wau,7.7029,27.9953,30.05,44,99,4.42,SS,1681278214
309,balaipungut,1.05,101.2833,34.67,47,54,1.31,ID,1681278215
310,high level,58.5169,-117.136,2.06,64,20,4.12,CA,1681278215
311,khani,41.9563,42.9566,6.76,69,88,2.35,GE,1681278216
312,cravo norte,6.3017,-70.2041,26.2,75,84,1.89,CO,1681278216
313,port blair,11.6667,92.75,32.77,51,33,1.17,IN,1681278216
314,tabuk,17.4189,121.4443,32.62,48,74,3.78,PH,1681278217
315,awbari,26.5921,12.7805,14.39,28,62,3.84,LY,1681278217
316,horta,38.5333,-28.6333,14.45,89,100,1.34,PT,1681278218
317,fallon,39.4735,-118.7774,13.93,40,20,9.26,US,1681278218
318,flinders,-34.5833,150.8552,18.99,78,95,1.79,AU,1681278218
319,sadovoye,47.7764,44.5089,15.81,41,100,10.74,RU,1681278219
320,syracuse,37.0881,15.2792,9.62,49,29,0.33,IT,1681278077
321,dudinka,69.4058,86.1778,-18.9,87,100,2.81,RU,1681278219
322,moberly,39.4184,-92.4382,15.99,55,0,3.6,US,1681278220
323,andros town,24.7,-77.7667,22.98,75,100,9.35,BS,1681278220
324,crixas,-14.5489,-49.9692,21.62,93,100,1.26,BR,1681278221
325,nishihara,26.1842,127.7558,26.81,78,20,6.17,JP,1681278221
326,bonnyville,54.2668,-110.735,0.89,92,100,2.54,CA,1681278221
327,gurupa,-1.405,-51.64,22.56,98,46,0.73,BR,1681278222
328,grand-lahou,5.1367,-5.0242,26.51,87,98,3.11,CI,1681278222
329,ghanzi,-21.5667,21.7833,19.05,33,0,5.08,BW,1681278223
330,santa cruz cabralia,-16.2781,-39.0247,23.13,94,75,3.6,BR,1681278223
331,shirgaon,19.7,72.7,32.54,47,0,6.1,IN,1681278223
332,ishigaki,24.3448,124.1572,26.07,73,20,6.69,JP,1681278224
333,bourg-en-bresse,46.1667,5.1667,11.9,79,100,2.98,FR,1681278224
334,acapulco,16.8634,-99.8901,27.9,69,0,3.09,MX,1681277999
335,pangnirtung,66.1451,-65.7125,-13.73,78,99,2.0,CA,1681278225
336,yar-sale,66.8333,70.8333,-21.45,89,17,4.3,RU,1681278225
337,svetlaya,46.5389,138.3297,5.86,51,94,7.71,RU,1681278225
338,gashua,12.871,11.0482,25.87,14,52,6.55,NG,1681278226
339,tura,25.5198,90.2201,34.43,16,0,2.85,IN,1681278226
340,fjerritslev,57.0813,9.2664,5.5,89,60,6.84,DK,1681277924
341,pringsewu,-5.3582,104.9744,32.88,51,73,1.12,ID,1681278227
342,batagay,67.6333,134.6333,-9.73,70,100,0.34,RU,1681278227
343,karaton,-6.3424,106.1045,29.77,67,74,4.0,ID,1681278227
344,zima,53.9202,102.0442,0.71,51,100,3.59,RU,1681278228
345,letlhakeng,-24.0944,25.0298,16.94,31,11,4.45,BW,1681278228
346,uige,-7.6087,15.0613,20.0,98,100,0.86,AO,1681278228
347,manavalakurichi,8.1333,77.3,32.56,54,7,2.64,IN,1681278229
348,sulangan,11.1373,123.7228,27.27,74,100,4.58,PH,1681278229
349,along,28.1667,94.7667,31.69,32,1,1.06,IN,1681278230
350,porto novo,6.4965,2.6036,26.9,79,100,2.7,BJ,1681278230
351,ceyhan,37.0247,35.8175,14.19,78,99,1.62,TR,1681278230
352,assiniboia,49.6334,-105.9845,9.9,62,54,6.69,CA,1681278231
353,picota,-6.9197,-76.3304,21.86,98,65,0.13,PE,1681278231
354,ako,34.75,134.4,19.58,80,100,1.34,JP,1681278232
355,northam,51.0333,-4.2167,4.23,91,78,11.59,GB,1681277973
356,hudson bay,52.85,-102.3842,2.46,99,100,0.37,CA,1681278232
357,magrath,49.4167,-112.8686,2.84,70,0,10.8,CA,1681278233
358,alyangula,-13.8483,136.4192,30.19,66,97,4.1,AU,1681278233
359,williston,48.147,-103.618,11.56,72,13,3.13,US,1681278233
360,bom jesus,-9.0744,-44.3586,23.07,79,58,1.02,BR,1681277829
361,komsomolskiy,40.4272,71.7189,17.4,59,40,5.14,UZ,1681278234
362,kruisfontein,-34.0033,24.7314,12.27,65,86,1.74,ZA,1681278235
363,kampong thum,12.7111,104.8887,37.71,33,81,2.28,KH,1681278235
364,sorland,67.667,12.6934,5.92,76,99,7.51,NO,1681278235
365,taoudenni,22.6783,-3.9836,22.82,12,100,4.48,ML,1681278236
